transaction_id,sender_address,receiver_address,amount,timestamp,gas_fee,transaction_count,wallet_age,is_fraud,anomaly_score,isolation_forest_label
1dc51140-8051-4b83-9bbc-9b009d3ad9e5,0x501fe5f1425af45ab9908ffd98f88874de360c82,0x96a1a18848d1ad13a5206f5973f858363cfaf2e4,84.87,1718110802,0.013391,235,235,1,0.06264716901381051,0
39ca45f0-7f2f-4812-91ff-3c0a961b993c,0x3ff1155761812ace359096d3cec3e9b88bf9fd3a,0xd3f57ff28d8e074d1aa2399cd0da0889ccde1bf7,65.799,1714097623,0.093483,75,314,0,0.035909578942321496,0
82ae7bd1-4ad1-42b4-8cec-2e03b123965b,0x6e6cfb5ee3b8e0194162a2766f0cbbc91617cde3,0xc62def12060f583d7d74197cb30bce493f721316,46.0806,1728258895,0.083226,381,118,1,0.08350027878476274,0
bcaee671-3d42-457c-a632-842ab0b0a809,0x6fef77f289fa2ff54d15b7c3bd5c76bada54ebda,0x5fb7004cbe0f04e723272169f6d36192f9352e83,37.7759,1740399836,0.081582,332,122,1,0.09341424178060564,0
3310fc3c-3292-4701-9cbe-ad4cddeeb2b4,0xe87acbe7b495d94753bb8c92f00339f77f40a72a,0xae6d874c34a151c9e425ee2589fe1a5adc118e55,54.329,1727048848,0.074569,157,6,0,0.050283959245778886,0
c342f608-5dab-4f47-abaa-006d8ae03d14,0xba8d1b001dbf55092d14841ea7c62a262cf867bd,0x13179ad40e7153bc287175ae0c317ab5541db737,95.0563,1710432145,0.080433,393,113,1,0.053238028991323905,0
36338f8d-bb29-4448-9085-fec39c9cf3c2,0xfaa33e594f7bb88122c605d63b1c5ee94e973dab,0x34eef1931a4303cf76829799f44da0f92591e9ef,66.0519,1730964505,0.078488,76,185,0,0.08604344077842502,0
6cf92335-faac-456e-a768-049c696cd943,0x68a3aa8f41763cfd6059e7ebf38cf053e3b34eb1,0x4fe8cda6a02847ca5faaff4a21be1b8238a89ea9,9.0888,1724913754,0.016233,242,134,0,0.07151936244746859,0
0ee4da90-5fd6-45a2-815c-577cc000297b,0xa49048cf6c5eb5db76d7000efb65e46951385ea6,0xb52a1d608df50220ee2545b79e00117ca7898c27,84.224,1728835029,0.02639,29,31,1,0.014485118808507003,0
2c8b61d4-115a-4916-a8e9-8a1185ddfbcf,0xf306fd9c8d3c209f7a5aa2395c10acb7c9c17cc4,0x939a9635f68cf61ff38b96bd5d9ea929abbd0618,84.8143,1726335825,0.029557,252,31,1,0.04960052740451937,0
